brand,entropy_ce_score_mean,entropy_ce_score_median,entropy_ce_score_std,entropy_ce_score_min,entropy_ce_score_max,critic_ce_score_mean,critic_ce_score_median,critic_ce_score_std,critic_ce_score_min,critic_ce_score_max,cilos_score_mean,cilos_score_median,cilos_score_std,cilos_score_min,cilos_score_max,idocriw_score_mean,idocriw_score_median,idocriw_score_std,idocriw_score_min,idocriw_score_max,merec_score_mean,merec_score_median,merec_score_std,merec_score_min,merec_score_max,additive_engagement_score_mean,additive_engagement_score_median,additive_engagement_score_std,additive_engagement_score_min,additive_engagement_score_max
Armani,22.730583646732427,27.62546,10.092074599661471,3.11313,63.13801,24.023366911220712,27.785065,8.577107249324577,5.50552,62.48957,28.09313893033292,31.017915,9.167609744334865,5.35591,67.1607,25.23641825215783,28.28004,7.829447091431934,7.23428,63.33806,25.85686196054254,28.547265,7.552025947386966,7.7901,63.87715,306.462392108508,148.0,1822.7986873777606,2,74043
Burberry,25.664744249230772,28.390305,9.333724251071516,3.31048,61.3521,26.857475483076925,28.458565,7.500971302284766,5.63636,60.35627,31.921879464615383,31.668075,5.202811204408972,5.99087,63.60357,28.01079500923077,28.988165000000002,6.69342343320761,6.28042,61.09324,28.633921116923077,29.28595,6.327418961973843,6.73495,61.51936,514.9652307692307,169.0,2039.902036666714,1,47942
Chanel,33.831012940095555,33.71667,6.455210304184097,7.44491,66.60787,34.28803719588387,33.94092,5.617801042677519,13.40478,65.4353,38.5714987908857,37.85833,4.959661725929553,25.55017,69.51736,35.16490502756339,34.67416,5.330571662919743,16.90324,66.09042,35.65161870635796,35.07745,5.227819141477242,18.6809,66.46705,1772.914369717016,730.0,5378.129490292694,66,93807
Dior,31.043554692307694,32.107225,8.964721395053953,3.26667,70.67211,31.50781796307692,32.16653,7.7742729994642605,5.63636,68.71784,35.514373163076925,35.853195,7.501385791391531,2.89304,69.58397,32.33046389846154,32.745099999999994,7.278540779863113,6.28042,69.06502,32.780214953846155,33.071645000000004,7.0937806742231455,6.73495,69.29856,1435.8513846153846,476.5,5522.295088826936,1,96228
Gucci,31.398206826715914,31.89384,8.266979621792027,3.20753,73.00583,31.83480375500154,31.91243,7.133519973056953,5.8228,70.80725,36.2519650261619,35.69122,6.33774442822644,5.65964,74.64414,32.625478217913205,32.44314,6.708722428906313,6.66783,70.93217,33.0757893413358,32.79828,6.54767220909618,7.1635,71.20618,1699.4422899353647,460.0,7133.8154390494565,2,156405
LV,33.54776970769231,33.27568,8.489218728783882,3.52714,100.0,34.16508210769231,33.47981,7.760072275916837,6.17165,97.46344,39.22726466461538,37.70988,7.74229013837533,6.68793,98.19426,35.08879973846154,34.15658,7.579625582876553,6.9105,97.95027,35.607372836923076,34.56353,7.536409964720294,7.43194,98.1259,9796.446461538462,751.0,70691.37131390975,3,1798038
