brand,year,month,year_month,customer_post_count,sentiment_score_mean,sentiment_score_median,positive_count,neutral_count,negative_count,positive_share,neutral_share,negative_share
Armani,2022,8,2022-08,1325,0.13741577358490567,0.0,436,848,41,0.3290566037735849,0.64,0.030943396226415093
Burberry,2022,8,2022-08,6086,0.125493279658232,0.0,1406,4611,69,0.23102201774564574,0.7576404863621427,0.011337495892211634
Chanel,2022,8,2022-08,1322,0.1377127836611195,0.0,436,845,41,0.329803328290469,0.6391830559757943,0.031013615733736764
Dior,2022,8,2022-08,6017,0.16700219378427789,0.0,1989,3955,73,0.3305634036895463,0.6573043044706665,0.01213229183978727
Gucci,2022,8,2022-08,5204,0.14588570330514988,0.0,1266,3766,172,0.24327440430438124,0.723674096848578,0.033051498847040735
LV,2022,8,2022-08,6037,0.1503248467782011,0.0,2798,2393,846,0.4634752360443929,0.3963889349014411,0.14013582905416597
