public_post_id,brand,brand_id,year,month,year_month,month_index,weekday,hour,retweet_count,reply_count,like_count,quote_count,engagement_total,hashtag_count,mention_count,is_retweet,Entertainment,Trendiness,Interaction,Customization,entropy_ce_score,critic_ce_score,cilos_score,idocriw_score,merec_score,additive_engagement_score
BP04411,Dior,4,2021,6,2021-06,20,Monday,5,36,3,401,1,441,4,0,False,0,1,5,0,29.37348,30.03198,34.86504,30.88914,31.36669,441
BP04412,Dior,4,2021,6,2021-06,20,Monday,2,51,5,469,2,527,4,0,False,0,0,5,0,31.21762,31.6135,35.957,32.36628,32.79211,527
BP04413,Dior,4,2021,6,2021-06,20,Sunday,23,22,1,203,0,226,3,0,False,0,0,4,0,16.06662,20.18111,28.58889,22.73688,23.87446,226
BP04414,Dior,4,2021,6,2021-06,20,Sunday,19,46,2,312,2,362,3,0,False,0,1,4,0,29.85293,30.31145,34.61572,31.10059,31.55651,362
BP04415,Dior,4,2021,6,2021-06,20,Sunday,15,216,20,1089,54,1379,2,1,False,0,1,4,1,40.44267,39.43923,41.97062,39.61718,39.81256,1379
BP04416,Dior,4,2021,6,2021-06,20,Sunday,12,29,1,301,2,333,2,0,False,0,0,3,0,28.98419,29.40944,34.16644,30.143,30.59939,333
BP04417,Dior,4,2021,6,2021-06,20,Sunday,9,18,3,157,1,179,1,0,False,0,1,2,0,28.74784,28.7636,31.90237,29.26229,29.54943,179
BP04418,Dior,4,2021,6,2021-06,20,Sunday,5,37,7,369,2,415,4,0,False,0,0,5,0,31.46221,31.51065,35.10227,32.06445,32.38307,415
BP04419,Dior,4,2021,6,2021-06,20,Sunday,3,40,4,349,0,393,1,0,False,0,0,2,0,18.06179,22.25147,30.57899,24.87901,26.02034,393
BP04420,Dior,4,2021,6,2021-06,20,Saturday,23,27,2,238,1,268,4,0,False,0,0,5,0,28.55673,29.00662,33.18794,29.74885,30.16948,268
BP04421,Dior,4,2021,6,2021-06,20,Saturday,20,22,2,270,1,295,2,0,False,0,0,3,0,28.58774,28.9985,33.41555,29.69997,30.11023,295
BP04422,Dior,4,2021,6,2021-06,20,Saturday,16,49,2,465,6,522,3,0,False,0,0,4,0,31.95315,32.01534,36.4431,32.60276,33.00286,522
BP04423,Dior,4,2021,6,2021-06,20,Saturday,12,20,0,236,0,256,2,0,False,0,0,3,0,7.70348,13.87384,28.16129,17.47498,19.31593,256
BP04424,Dior,4,2021,6,2021-06,20,Saturday,8,68,1,534,1,604,5,0,False,0,0,6,0,28.42232,29.78871,35.99366,31.05716,31.7563,604
BP04425,Dior,4,2021,6,2021-06,20,Saturday,4,30,1,354,0,385,2,0,False,0,0,3,0,16.42196,20.87667,30.29986,23.61557,24.85437,385
BP04426,Dior,4,2021,6,2021-06,20,Saturday,0,44,3,304,3,354,3,0,False,0,0,4,0,30.96591,31.07317,34.7854,31.6819,32.04998,354
BP04427,Dior,4,2021,6,2021-06,20,Friday,20,17,1,258,1,277,1,0,False,0,0,2,0,27.75606,28.22904,33.07649,28.94349,29.38153,277
BP04428,Dior,4,2021,6,2021-06,20,Friday,16,24,3,225,0,252,3,0,False,0,0,4,0,17.37618,21.26426,29.02849,23.70749,24.76419,252
BP04429,Dior,4,2021,6,2021-06,20,Friday,13,13,4,241,0,258,1,0,False,0,1,2,0,17.66147,21.24137,28.90933,23.47589,24.43996,258
BP04430,Dior,4,2021,6,2021-06,20,Friday,10,51,3,417,3,474,3,0,False,0,1,4,0,31.17096,31.4687,35.7794,32.17828,32.60313,474
BP04431,Dior,4,2021,6,2021-06,20,Thursday,8,82,8,673,8,771,0,0,False,0,0,1,0,34.54515,34.41678,38.23542,34.9436,35.28412,771
BP04432,Dior,4,2021,6,2021-06,20,Wednesday,16,87,8,686,7,788,0,0,False,0,0,1,0,34.31988,34.30647,38.24874,34.89612,35.26238,788
BP04433,Dior,4,2021,6,2021-06,20,Wednesday,14,56,6,604,5,671,0,0,False,0,0,1,0,33.15812,33.16376,37.32445,33.72351,34.08147,671
BP04434,Dior,4,2021,6,2021-06,20,Wednesday,5,39,7,363,5,414,2,0,False,0,1,3,0,32.99903,32.58484,35.61443,32.91364,33.14489,414
BP04435,Dior,4,2021,6,2021-06,20,Wednesday,2,30,2,292,4,328,2,0,False,0,1,3,0,30.88204,30.76799,34.56533,31.23381,31.559,328
BP04436,Dior,4,2021,6,2021-06,20,Tuesday,23,20,2,251,0,273,2,0,False,1,0,3,0,16.92446,20.89297,29.17788,23.35952,24.4464,273
BP04437,Dior,4,2021,6,2021-06,20,Tuesday,19,22,4,205,0,231,1,0,False,0,1,2,0,17.66591,21.39796,28.76227,23.7567,24.76332,231
BP04438,Dior,4,2021,6,2021-06,20,Tuesday,17,31,9,346,2,388,1,0,False,0,0,2,0,31.73634,31.59912,34.84449,32.04446,32.30482,388
BP04439,Dior,4,2021,6,2021-06,20,Tuesday,14,35,7,283,2,327,1,0,False,0,0,2,0,31.30545,31.22733,34.32066,31.71976,32.0003,327
BP04440,Dior,4,2021,6,2021-06,20,Tuesday,8,32,4,345,3,384,3,0,False,0,0,4,0,31.32972,31.25851,34.98216,31.74396,32.057,384
BP04441,Dior,4,2021,5,2021-05,19,Monday,16,24,4,214,0,242,2,0,False,0,0,3,0,17.70375,21.48778,28.92654,23.87901,24.90081,242
