brand,brand_id,year,month,year_month,month_index,post_count,retweet_count_sum,retweet_count_mean,retweet_count_median,reply_count_sum,reply_count_mean,reply_count_median,like_count_sum,like_count_mean,like_count_median,quote_count_sum,quote_count_mean,quote_count_median,engagement_total_sum,engagement_total_mean,engagement_total_median,hashtag_count_sum,hashtag_count_mean,mention_count_sum,mention_count_mean,Entertainment_sum,Trendiness_sum,Interaction_sum,Customization_sum,entropy_ce_score_sum,entropy_ce_score_mean,entropy_ce_score_median,critic_ce_score_sum,critic_ce_score_mean,critic_ce_score_median,cilos_score_mean,idocriw_score_mean,merec_score_mean,additive_engagement_score_mean
Armani,1,2020,2,2020-02,4,52,2331,44.82692307692308,24.5,161,3.0961538461538463,1.0,11921,229.25,123.0,284,5.461538461538462,2.0,14697,282.63461538461536,155.5,135,2.5961538461538463,28,0.5384615384615384,1,23,215,28,1275.3602,24.526157692307695,27.760469999999998,1320.35604,25.391462307692304,28.006194999999998,29.7267275,26.39698019230769,26.985853653846156,282.63461538461536
Armani,1,2020,3,2020-03,5,17,1323,77.82352941176471,39.0,125,7.352941176470588,3.0,4481,263.5882352941176,162.0,213,12.529411764705882,3.0,6142,361.29411764705884,206.0,14,0.8235294117647058,3,0.17647058823529413,0,0,34,3,520.09042,30.59355411764706,30.09028,517.58474,30.44616117647059,30.10104,32.55047058823529,30.965185882352937,31.25332176470588,361.29411764705884
Armani,1,2020,4,2020-04,6,21,539,25.666666666666668,23.0,67,3.1904761904761907,3.0,2369,112.80952380952381,106.0,67,3.1904761904761907,2.0,3042,144.85714285714286,133.0,31,1.4761904761904763,9,0.42857142857142855,1,4,61,9,613.25784,29.202754285714285,29.17109,608.46104,28.97433523809524,29.09362,31.434891428571426,29.386066666666665,29.64231571428571,144.85714285714286
Armani,1,2020,5,2020-05,7,50,2191,43.82,17.5,169,3.38,1.0,15473,309.46,92.0,466,9.32,1.0,18299,365.98,110.5,121,2.42,28,0.56,19,5,199,28,1059.63326,21.1926652,27.338445,1110.88406,22.2176812,27.494215,25.2690246,23.2950514,23.851408000000003,365.98
Armani,1,2020,6,2020-06,8,6,225,37.5,30.0,45,7.5,1.5,1416,236.0,147.5,23,3.8333333333333335,3.0,1709,284.8333333333333,182.0,8,1.3333333333333333,3,0.5,0,1,17,3,177.57199,29.595331666666667,29.64203,177.80313999999998,29.633856666666663,29.513730000000002,33.28374,30.194053333333333,30.56077,284.8333333333333
Armani,1,2020,7,2020-07,9,12,273,22.75,23.0,42,3.5,2.0,1455,121.25,98.0,27,2.25,2.0,1797,149.75,126.0,17,1.4166666666666667,1,0.08333333333333333,1,6,30,1,312.44243,26.036869166666666,28.935855,316.13181,26.3443175,28.51948,29.47379666666667,27.03314,27.434067499999998,149.75
Armani,1,2020,8,2020-08,10,23,672,29.217391304347824,15.0,120,5.217391304347826,0.0,1595,69.34782608695652,0.0,94,4.086956521739131,0.0,2481,107.8695652173913,19.0,12,0.5217391304347826,16,0.6956521739130435,1,6,51,16,349.18913,15.18213608695652,3.45213,382.35338,16.62406,6.64481,17.53721,17.949067826086957,18.52791,107.8695652173913
Armani,1,2020,9,2020-09,11,93,4825,51.88172043010753,15.0,286,3.075268817204301,1.0,29984,322.40860215053766,86.0,1171,12.591397849462366,2.0,36266,389.9569892473118,101.0,152,1.6344086021505377,48,0.5161290322580645,38,7,293,48,2314.90232,24.891422795698926,27.78571,2358.763,25.363043010752687,27.4177,29.403720322580646,26.125634408602153,26.61090709677419,389.9569892473118
Armani,1,2020,10,2020-10,12,14,277,19.785714285714285,16.5,18,1.2857142857142858,0.0,109,7.785714285714286,0.0,2,0.14285714285714285,0.0,406,29.0,17.5,17,1.2142857142857142,13,0.9285714285714286,0,1,44,13,76.61485,5.472489285714286,3.43793,116.36784,8.311988571428572,6.5971,8.170222857142857,10.419836428571429,11.272171428571427,29.0
Armani,1,2020,11,2020-11,13,9,233,25.88888888888889,21.0,39,4.333333333333333,5.0,1014,112.66666666666667,121.0,20,2.2222222222222223,2.0,1306,145.11111111111111,146.0,8,0.8888888888888888,4,0.4444444444444444,0,1,21,4,210.69181,23.41020111111111,30.70576,217.39559,24.155065555555556,30.12559,26.125251111111112,25.093782222222224,25.520566666666667,145.11111111111111
Armani,1,2020,12,2020-12,14,2,44,22.0,22.0,17,8.5,8.5,207,103.5,103.5,1,0.5,0.5,269,134.5,134.5,1,0.5,1,0.5,0,0,4,1,47.8247,23.91235,23.91235,50.787400000000005,25.393700000000003,25.393700000000003,29.025925,26.644849999999998,27.162644999999998,134.5
Armani,1,2021,1,2021-01,15,27,1241,45.96296296296296,21.0,128,4.7407407407407405,2.0,3897,144.33333333333334,112.0,77,2.8518518518518516,1.0,5343,197.88888888888889,148.0,24,0.8888888888888888,20,0.7407407407407407,1,1,71,20,587.35795,21.753998148148145,27.69415,628.97284,23.29529037037037,27.85609,27.333730370370372,24.62581,25.26850851851852,197.88888888888889
Armani,1,2021,2,2021-02,16,32,462,14.4375,13.0,32,1.0,1.0,1873,58.53125,54.0,23,0.71875,0.0,2390,74.6875,66.0,30,0.9375,19,0.59375,0,9,81,19,472.11129,14.7534778125,15.50137,550.24166,17.195051875,18.899945000000002,21.4730346875,18.949651875,19.7550603125,74.6875
Armani,1,2021,3,2021-03,17,8,1002,125.25,21.0,85,10.625,5.5,6076,759.5,98.0,130,16.25,1.0,7293,911.625,146.5,5,0.625,2,0.25,0,2,15,2,214.78684,26.848355,29.139555,219.64557,27.45569625,28.717305,29.84038375,28.34438625,28.75436125,911.625
Armani,1,2021,4,2021-04,18,15,455,30.333333333333332,19.0,66,4.4,5.0,1067,71.13333333333334,94.0,7,0.4666666666666667,0.0,1595,106.33333333333333,128.0,12,0.8,7,0.4666666666666667,1,2,34,7,277.53889,18.502592666666665,18.4353,302.48322,20.165548,21.65725,22.149448666666668,21.585421333333333,22.17901733333333,106.33333333333333
Armani,1,2021,5,2021-05,19,12,583,48.583333333333336,30.0,67,5.583333333333333,6.0,843,70.25,83.0,7,0.5833333333333334,0.0,1500,125.0,137.0,11,0.9166666666666666,8,0.6666666666666666,0,4,31,8,185.61347,15.467789166666668,17.728250000000003,215.04692,17.920576666666665,20.971485,20.04219,19.782621666666667,20.540296666666666,125.0
Armani,1,2021,6,2021-06,20,23,469,20.391304347826086,16.0,85,3.6956521739130435,2.0,2476,107.65217391304348,103.0,71,3.0869565217391304,2.0,3101,134.82608695652175,123.0,39,1.6956521739130435,10,0.43478260869565216,0,13,72,10,610.72525,26.553271739130434,28.10458,620.30591,26.969822173913045,27.84057,30.44343086956522,27.685501739130434,28.077291304347824,134.82608695652175
Armani,1,2021,7,2021-07,21,58,1212,20.896551724137932,17.5,135,2.3275862068965516,2.0,7649,131.8793103448276,117.5,138,2.3793103448275863,2.0,9134,157.48275862068965,137.0,121,2.086206896551724,74,1.2758620689655173,7,11,253,74,1469.14023,25.330003965517243,28.236895,1518.1295,26.174646551724138,28.1312,30.51939275862069,27.098514827586207,27.59240155172414,157.48275862068965
Armani,1,2021,8,2021-08,22,18,294,16.333333333333332,12.5,54,3.0,2.0,2104,116.88888888888889,112.0,18,1.0,1.0,2470,137.22222222222223,124.5,28,1.5555555555555556,16,0.8888888888888888,0,0,62,16,407.13558,22.618643333333335,22.95921,434.6336,24.14631111111111,23.894914999999997,29.309527777777777,25.39161222222222,26.009054444444445,137.22222222222223
Armani,1,2021,9,2021-09,23,63,1733,27.50793650793651,19.0,164,2.6031746031746033,2.0,9564,151.8095238095238,99.0,114,1.8095238095238095,1.0,11575,183.73015873015873,120.0,153,2.4285714285714284,16,0.25396825396825395,17,20,232,16,1482.4477,23.53091587301587,27.69913,1565.37467,24.847216984126984,27.32273,29.857823492063492,26.019054126984127,26.633503333333334,183.73015873015873
Armani,1,2021,10,2021-10,24,18,817,45.388888888888886,31.5,116,6.444444444444445,5.5,4473,248.5,164.0,83,4.611111111111111,2.5,5489,304.94444444444446,204.5,27,1.5,8,0.4444444444444444,1,4,53,8,554.16808,30.78711555555556,31.38904,552.53069,30.696149444444448,30.854885,33.34174055555556,31.199645555555556,31.47654833333333,304.94444444444446
Armani,1,2021,11,2021-11,25,32,1675,52.34375,21.0,483,15.09375,2.0,8783,274.46875,103.0,200,6.25,2.0,11141,348.15625,129.5,34,1.0625,14,0.4375,3,9,80,14,854.75901,26.7112190625,28.7696,872.61466,27.269208125,28.91149,30.75932875,28.079819999999998,28.5062896875,348.15625
