brand,year,month,year_month,customer_post_count,followers_mean,followers_median,retweets_sum,retweets_mean,favorites_sum,favorites_mean
Armani,2022,8,2022-08,1325,8268.882264150943,451.0,32470,24.505660377358492,2988,2.2550943396226417
Burberry,2022,8,2022-08,6086,4804.893526125534,195.0,4942218,812.0634242523826,6660,1.0943148209004272
Chanel,2022,8,2022-08,1322,8317.990166414524,459.5,32398,24.50680786686838,2987,2.2594553706505294
Dior,2022,8,2022-08,6017,979.8439421638691,128.0,12449969,2069.1322918397873,8577,1.4254611932856907
Gucci,2022,8,2022-08,5204,1199.2659492697924,63.5,4297552,825.8170637970792,5438,1.0449654112221367
LV,2022,8,2022-08,6037,2205.9703495113467,148.0,5695911,943.5002484677821,9829,1.6281265529236375
